Key,Name,Status,Definition,Abbreviations,Aliases,AdditionalNotes,Stewards,RelatedGlossaries,TermEntityType,ParentGlossary
,Exempt Versus Non-Exempt Employees,,"The difference between exempt and nonexempt employees is who gets paid overtime and who doesn't. The U.S. Department of Labor specifically designates certain classes of workers as exempt, including executives, administrative personnel, outside salespeople, highly skilled computer-related employees, doctors, lawyers, engineers, etc. Managers who hire and fire employees and who spend less than half their time performing the same duties as their employees are typically also exempt employees. In general, the more responsibility and independence or discretion an employee has, the more likely the employee is to be considered exempt. Generally, any worker performing repetitive tasks is most likely nonexempt and must be paid overtime.",,,,admin,,Business Terms,Human Resources
,Exit Interview,,"The final meeting between management, usually someone in the HR department, and an employee leaving the company. Information on why the employee is leaving is gathered to gain insight into work conditions and possible changes or solutions.",,,,admin,,Business Terms,Human Resources
,Expatriate,,An employee who is transferred to work abroad on a long-term job assignment.,,,,admin,,Business Terms,Human Resources
,Expense ,,Generally the running costs of a business.,,,,admin,,Business Terms,Accounting
,External Organization,,"External Organisation means any organisation, club, society, body corporate, corporation, company, trust or any other body capable of entering legal transactions on its own behalf, that is not MONSU Caulfield. Sample 1.",,,,admin,,Business Terms,Company Wide
,Factor comparison,,"A systematic and scientific comparison, that instead of ranking complete jobs, ranks according to a series of factors. These factors include mental effort, physical effort, skill needed, responsibility, supervisory responsibility, working conditions, etc.",,,,admin,,Business Terms,Human Resources
,Fair Representation,,"The duty of fair representation is incumbent upon U.S. labor unions that are the exclusive bargaining representative of workers in a particular group. It is the obligation to represent all employees fairly, in good faith, and without discrimination.",,,,admin,,Business Terms,Human Resources
,Financial statements ,,"Documents presenting accounting information which is expected to have a useful purpose, commonly known as �the accounts�.",,,,admin,,Business Terms,Accounting
,First Name,,,,,,admin,,Business Terms,Human Resources
,First Name,,,,,,admin,,Business Terms,Company Wide
,Fixed asset ,,"An asset that is held by an enterprise for use in the production or supply of goods or services, for rental to others, or for administrative purposes on a continuing basis in the reporting entity�s activities. Examples are equipment, vehicles, land and buildings.",,,,admin,,Business Terms,Accounting
,Fixed cost ,,One which is not affected by changes in the level of output over a defined period of time.,,,,admin,,Business Terms,Accounting
,Fixed Term Employment,,"An employee agrees to work for a fixed term?until a certain date, at the completion of a project, etc.",,,,admin,,Business Terms,Human Resources
,Flexible Spending Accounts (FSA),,FSAs allow employees to set aside a portion of their earnings on a pre-tax basis into separate spending accounts to fund allowable health care and/or dependent day care expenses. The funds must be segregated as per IRS regulations.,,,,admin,,Business Terms,Human Resources
,Flexible Work Arrangements,,"Schedules that allow employees to structure their work hours around their personal responsibilities. Examples include flextime, job sharing, telecommuting and a compressed workweek. Home sourcing has become a popular flexible work concept in recent years. In this arrangement, employees work full-time from their homes.",,,,admin,,Business Terms,Human Resources
,Forced Ranking,,"Also known as a vitality curve, this is a system of work performance evaluation in which employees are compared against each other instead of against fixed standards. Based on the ?20/80 Rule? idea, that 20 percent of employees do 80 percent of the meaningful, productive work, the top 20 percent of workers are rewarded and, oftentimes, the bottom 10 percent are fired.",,,,admin,,Business Terms,Human Resources
,Forecast ,,Forecast estimate of future performance and position based on stated assumptions and usually including a quantified amount.,,,,admin,,Business Terms,Accounting
,Freedom of association,,The right of workers to join a union and to bargain collectively. This right is protected by the Universal Declaration of Human Rights and the Human Rights Act of 1993.,,,,admin,,Business Terms,Human Resources
,Full-Time Employee,,,,,,admin,,Business Terms,Human Resources
,Full-time equivalent (FTE),,A value assigned to signify the number of full-time employees that could have been employed if the reported number of hours worked by part-time employees had been worked by full-time employees instead.,,,,admin,,Business Terms,Human Resources
,Functional job analysis,,"Developed by the U.S. Department of Labor, functional job analysis is a method of gathering specific and detailed job information. This information can be used to write job descriptions.",,,,admin,,Business Terms,Human Resources
,Gag clause,,Refers to the employment contract restrictions used as a means of protecting the organization's trade secrets or proprietary information.,,,,admin,,Business Terms,Human Resources
,General Agents,,"General agents are middleman for carriers and brokers and usually focus on the 250 employee market. Usually an individual appointed by a life or health insurer to administer its business in a given territory. GAs are important for companies who sell to small employers or brokers e.g., benefits administration software providers.",,,,admin,,Business Terms,Human Resources
,Generation I,,The term used to describe children born after 1994 who are growing up in the Internet age.,,,,admin,,Business Terms,Human Resources
,Generation X,,The term used to describe individuals born between 1965 and 1980.,,,,admin,,Business Terms,Human Resources
,Generation Y,,The term used to describe individuals born between 1985 and the present.,,,,admin,,Business Terms,Human Resources
,Genetic-based Discrimination,,The practice of requesting or requiring genetic testing information during the hiring process or using genetic testing information to base any other employment decisions or actions.,,,,admin,,Business Terms,Human Resources
,Geographical differential,,The variance in pay established for same or comparable jobs based on variations in labor and costs of living among other geographic regions.,,,,admin,,Business Terms,Human Resources
,Goal Setting,,"Assigning specific, attainable goals to a person, team or organization. Goal setting is a motivational technique, as workers often rise to the challenges given them.",,,,admin,,Business Terms,Human Resources
,Going concern basis ,,Financial statements are prepared on this basis assuming that the business will continue operating into the foreseeable future.,,,,admin,,Business Terms,Accounting
,Good faith bargaining,,A requirement of the Employment Relations Act of 2000 that all parties to a contract conduct negotiations with a willingness to reach an agreement on new contract terms.,,,,admin,,Business Terms,Human Resources
,Goodwill ,,The excess of the fair value of a business and the value of the underlying assets recorded in the accounts. See also intangible.,,,,admin,,Business Terms,Accounting
,Grievance,,a complaint by an employee due to an alleged violation of law or collective bargaining or dissatisfaction with work conditions.,,,,admin,,Business Terms,Human Resources
,Gross ,,Before making deductions.,,,,admin,,Business Terms,Accounting
,Gross misconduct,,"An action so serious that it calls for the immediate dismissal of an employee. Examples include fighting, drunkenness, harassment of others and theft.",,,,admin,,Business Terms,Human Resources
,Gross profit (or margin) ,,Sales minus cost of sales before deducting administration and selling expenses (see also gross margin).,,,,admin,,Business Terms,Accounting
,Group dynamics,,The way that people interact within a group that determines how it functions and how effective the group is.,,,,admin,,Business Terms,Human Resources
,Hawthorne Effect,,"The theory that organizations can motivate their employees as much or more by expressing concern for problems as by actually improving their work conditions. This personal interest results in increased performance, according to the observations of productivity researcher George Elton Mayo.",,,,admin,,Business Terms,Human Resources
,Health care flexible spending account (FSA),,"A benefit plan designed to allow employees to set aside pre-tax dollars to pay for eligible medically related expenses, such as medical, vision or dental exams, copays and deductibles, as well as other out-of-pocket expenses.",,,,admin,,Business Terms,Human Resources
,Health savings accounts (HSA),,"A tax-free account that can be used by employees to pay for qualified medical expenses. To be eligible for a Health Savings Account, an individual must be covered by a High Deductible Health Plan (HDHP), must not be covered by other health insurance, is not eligible for Medicare and can?t be claimed as a dependent on someone else?s tax return.",,,,admin,,Business Terms,Human Resources
,Hierarchy of needs,,"A theory created by psychologist Abraham Maslow that states humans constantly strive to meet a series of needs, going from physical (food and shelter) all the way to spiritual (self-actualization).",,,,admin,,Business Terms,Human Resources
,HR Audit,,"A periodic measurement of human resources effectiveness, conducted by internal staff or with the use of an HR audit system.",,,,admin,,Business Terms,Human Resources
,HR Generalist,,"An individual who is able to perform more than one diversified human resources function, rather then specializing in one specific function.",,,,admin,,Business Terms,Human Resources
,Human Capital,,"The collective skills, knowledge and competencies of an organization?s people that enables them to create economic value.",,,,admin,,Business Terms,Human Resources
,Human Capital Management,,"The challenge of recruiting and retaining qualified candidates, and helping new employees fit into an organization. The goal is to keep employees contributing to the organizations intellectual capital by offering competitive salary, benefits and development opportunities. The major functions of human capital management include Recruitment, Compensation, Benefits and Training.",,,,admin,,Business Terms,Human Resources
,Human Resource Information System (HRIS),,"Business software systems that assist in the management of human resource data (e.g. payroll, job title, candidate contact information). Some of the larger HRIS platforms include SAP and Peoplesoft.",,,,admin,,Business Terms,Human Resources
,Human Resource Outsourcing (HRO),,"A contractual agreement between an employer and an external third-party provider whereby the employer transfers responsibility and management for certain HR, benefit or training-related functions or services to the external provider.",,,,admin,,Business Terms,Human Resources
,Incentive pay,,Additional compensation used as a motivational tool to exceed specified work goals.,,,,admin,,Business Terms,Human Resources
,Incidence rate,,Indicates the number of workplace injuries/illnesses and the number of lost work days per 100 employees.,,,,admin,,Business Terms,Human Resources
,Indirect compensation,,"Compensation that is not paid directly to an employee and is calculated in addition to base salary and incentive pay (i.e., health/dental/vision insurance, vacation, retirement benefits, educational benefits, relocation expenses, etc.).",,,,admin,,Business Terms,Human Resources
,Individual employment agreement,,A written document that describes the legal relationship between an employer and employee.,,,,admin,,Business Terms,Human Resources
,Industrial Psychology,,Applied psychology concerned with the study of human behavior in the workplace and how to efficiently manage an industrial labor force and problems encountered by employees.,,,,admin,,Business Terms,Human Resources
,Industrial relations,,"A field of study that examines the relationship between employer and employees, particularly groups of workers in unions.",,,,admin,,Business Terms,Human Resources
,Intangible fixed asset ,,"An asset, such as a right, that cannot be touched (e.g. a trademark or Goodwill).",,,,admin,,Business Terms,Accounting
,Intangible rewards,,"A subjective benefit that has no monetary value, such as praise for excellent performance.",,,,admin,,Business Terms,Human Resources
,Internal Organization,,,,,,admin,,Business Terms,Company Wide
,Inventory ,,Stocks of goods held for manufacture or for resale.,,,,admin,,Business Terms,Accounting
,Invoice (bill) ,,A document from supplier to buyer summarising goods or services supplied and the price payable.,,,,admin,,Business Terms,Accounting
,ISO 9000,,"A set of internationally-accepted standards, created by the International Organization for Standardization, for quality management and quality assurance. These standards apply uniformly across all industries and company size. Companies can receive ISO 9000 certification for meeting these standards.",,,,admin,,Business Terms,Human Resources
,"ISO 9001, 9004",,"Developed by the International Organization for Standardization (ISO), it is a set of standards for quality management systems that is accepted around the world. Organizations that conform to these standards can receive ISO 9000 certification. The standard intended for quality management system assessment and registration is ISO 9001.",,,,admin,,Business Terms,Human Resources
,Job,,,,,,admin,,Business Terms,Human Resources
,Job Accommodation Network (JAN),,"A service provided by the US Department of Labor's Office of Disability Employment Policy (ODEP), JAN's mission is to facilitate the employment and retention of workers with disabilities by providing employers and people with disabilities with information on job accommodations, entrepreneurship, and related subjects.",,,,admin,,Business Terms,Human Resources
,Job analysis,,The process of gathering information about the requirements and necessary skills of a job in order to create a job description.,,,,admin,,Business Terms,Human Resources
,Job Board,,An online location that provides an up-to-date listing of current job vacancies in various industries. Applicants are able to apply for employment through the job board itself. Many job boards have a variety of additional services to help job seekers manage their careers and their ongoing job search processes.,,,,admin,,Business Terms,Human Resources
,Job Candidate,,,,,,admin,,Business Terms,Human Resources
,Job classification,,"A method of evaluation used for job comparisons, which groups jobs into a prearranged number of grades, each having a class description and a specified pay range.",,,,admin,,Business Terms,Human Resources
,Job Description,,"A written statement that explains the responsibilities and qualifications of a given job, based on a job analysis. The job description usually includes specific required tasks as well as an overview of the position and whom the employee reports to.",,,,admin,,Business Terms,Human Resources
,Job evaluation,,A comparison of one job with other jobs in a company for the purpose of assessing fair compensation.,,,,admin,,Business Terms,Human Resources
,Job Title,,,,,,admin,,Business Terms,Human Resources
,Johari Window,,A leadership disclosure and feedback model used primarily in self-help groups and corporate settings as a heuristic exercise which can be used in performance measurement and features the four quadrants (windows) of ?knowing.?,,,,admin,,Business Terms,Human Resources
,Key Performance Indicators (KPIs),,"Tasks that are central to the success of a business and show, when measured, whether the business is advancing toward its strategic goals.",,,,admin,,Business Terms,Human Resources
,KSAs,,"The Knowledge, Skills and Abilities an employee needs to meet the requirements of a job.",,,,admin,,Business Terms,Human Resources
,Labor certification,,"Labor certification is a statement from the U.S. Department of Labor (DOL) that a particular position at a particular company is open."" It is the first step in the process of obtaining a green card.""",,,,admin,,Business Terms,Human Resources
,Labor force participation rate,,The ratio between the labor force (all those currently employed or seeking work) and the nation?s total working-age population.,,,,admin,,Business Terms,Human Resources
,Labor law posting,,Federal and state regulations requiring employers to post in conspicuous places a variety of labor law posters with information regarding employee rights.,,,,admin,,Business Terms,Human Resources
,Labor Market,,"A geographical region (local, national or international) in which labor transactions occur?employers find workers and workers find work.",,,,admin,,Business Terms,Human Resources
,Leadership Development,,"Activities, whether formal or informal, that enhance leadership qualities.",,,,admin,,Business Terms,Human Resources
,Learning Management Software and Systems,,"A software platform for businesses and organizations designed to train and educate employees. Components typically include content delivery and other tools needed to administer, measure, track, and report / analyze the effectiveness of a company's training initiatives. Modern learning management systems (LMS) are often cloud-based solutions, allowing access to training and other LMS content & features online using a standard web browser.",,,,admin,,Business Terms,Human Resources
,Learning Style,,"Learning styles are overall patterns that provide direction to learning and teaching. They involve educating methods, particular to an individual, that are presumed to allow that individual to learn best.",,,,admin,,Business Terms,Human Resources
,Leasing ,,Acquiring the use of an asset through a rental agreement.,,,,admin,,Business Terms,Accounting
,Liabilities ,,Debts owed by a business.,,,,admin,,Business Terms,Accounting
,Life Insurance,,"Life insurance (or commonly life assurance, especially in the Commonwealth) is a contract between an insured (insurance policy holder) and an insurer or assurer, where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") in exchange for a premium, upon the death of the insured person. Depending on the contract, other events such as terminal illness or critical illness may also trigger payment. The policy holder typically pays a premium, either regularly or as a lump sum. Other expenses (such as funeral expenses) are also sometimes included in the benefits.",,,,admin,,Business Terms,Human Resources
,"LIFO (Last In, First Out)",,A method of determining who should be laid off in which the most recent hires are laid off first.,,,,admin,,Business Terms,Human Resources
,Limited liability ,,Most commonly used to describe the limit of liability of a shareholder (member) to contribute to the assets of a company if it goes into liquidation.,,,,admin,,Business Terms,Accounting
,Limited liability company ,,Company where the liability of the owners is limited to the amount of capital they have agreed to contribute.,,,,admin,,Business Terms,Accounting
,Liquidity ,,The extent to which a business has access to cash or items which can readily be exchanged for cash.,,,,admin,,Business Terms,Accounting
,Long-term care insurance,,"Helps provide for the cost of long-term care beyond a predetermined period, and is generally not covered by health insurance, Medicare, or Medicaid.",,,,admin,,Business Terms,Human Resources
,Lump sum payment,,"A single large payment given to an employee, usually instead of more and smaller pay increases.",,,,admin,,Business Terms,Human Resources
,Managed Care,,"A health care system in which the provider manages the care of the individual for a fixed fee. The opposite of this preventive intervention (or, population-based) approach is fee-for-service. Managed care emphasizes wellness and prevention.",,,,admin,,Business Terms,Human Resources
,Management by Objective (MBO),,A process of defining objectives within an organization so that management and employees agree on the overall goals and objectives for the organization. The  employees determine and set goals for themselves based on the overall goals and objectives for the organization.,,,,admin,,Business Terms,Human Resources
,Manager,,Someone who manages an employee. Must have appropriate training as a manager within four weeks of appointment.,,,,admin,,Business Terms,Human Resources
,Marketing PR,,"Marketing PR is the combining of what are traditionally two separate departments, public relations and marketing, to one integrated front whereby all marketing and PR activities focus on reaching buyers directly. Marketing PR incorporates both traditional marketing and PR tactics with social media and other Internet-based initiatives that support the measurable goals of online publicity, increased web site traffic, search-optimization (SEO) and, lead generation. A key difference between traditional PR and Marketing PR is the use of a press release. Traditional PR writes and distributes a press release for the sole purpose of securing media placements. Marketing PR does this as well but also uses the press release to enhance website SEO, increase web site traffic and generate qualified sales leads.",,,,admin,,Business Terms,Human Resources
,Materiality ,,Information is material if its omission or misstatement could influence the economic decisions of users taken on the basis of the financial statements.,,,,admin,,Business Terms,Accounting
,Matrix organization,,"Used primarily in the management of large projects, a horizontal authority structure in which teams are created from various departments and report to more than one boss.",,,,admin,,Business Terms,Human Resources
,Mean wage,,"The average wage for a worker in a specified position or occupation, which may be skewed up or down if there are a few extreme examples in the sample.",,,,admin,,Business Terms,Human Resources
,Median wage,,"The margin between the highest paid 50 percent and the lowest paid 50 percent of workers in a specific position or occupation. It is often more representative of the average wage than a mean would be, as it can account for extreme outliers.",,,,admin,,Business Terms,Human Resources
,Mediation Services,,The use of a trained third party to settle an employment dispute. The third party has no legal authority and so must use persuasion to settle the dispute.,,,,admin,,Business Terms,Human Resources
,Medical savings account (MSA),,"A savings account funded by employees  in which tax-deferred deposits can be made for use as medical expenses, co-payments, or deductibles.",,,,admin,,Business Terms,Human Resources
,Memorandum (for a company) ,,Document setting out main objects of the company and its powers to act.,,,,admin,,Business Terms,Accounting
,Mentoring,,An informal training process between a more experienced person and a junior employee.,,,,admin,,Business Terms,Human Resources
,Merit pay,,"Performance-related pay which provides bonuses or base pay increases for workers who perform their jobs effectively, according to measurable criteria.",,,,admin,,Business Terms,Human Resources
,Minimum wage,,The lowest amount an employer can pay an hourly employee. This rate is set by the federal government.,,,,admin,,Business Terms,Human Resources
,Minority business enterprise,,"A business which is at least 51% owned, operated and controlled on a daily basis by one or more African American, Asian American, Hispanic American, or Native American citizens.",,,,admin,,Business Terms,Human Resources
,Mission Statement,,"A description of an organization?s purpose: what it does, what markets it serves and what direction it is going in.",,,,admin,,Business Terms,Human Resources
,Mobile Recruiting,,"Using mobile technologies to find and connect with people (candidates) who use mobile devices (e.g., phone).",,,,admin,,Business Terms,Human Resources
,Motivational Theories,,Psychological models that attempt to explain what motivates people. These theories can help employers design incentive strategies.,,,,admin,,Business Terms,Human Resources
,Myers-Briggs Type Indicator (MBTI),,"A well-known personality type assessment designed to measure people?s psychological preferences. The personality is divided into four dichotomies, with 16 personality types possible. The system is partly based on the theories of psychologist Carl Jung.",,,,admin,,Business Terms,Human Resources
,Negotiation,,Bargaining between two or more parties with the goal of reaching consensus or resolving a problem.,,,,admin,,Business Terms,Human Resources
,Nepotism,,"Preferential hiring of relatives and friends, even though others might be more qualified for those positions.",,,,admin,,Business Terms,Human Resources
,Net assets ,,Assets minus liabilities (equals ownership interest).,,,,admin,,Business Terms,Accounting
,Net book value ,,Costs of non-current (fixed)( asset minus accumulated depreciation.,,,,admin,,Business Terms,Accounting
,Net profit ,,Sales minus cost of sales minus all administrative and selling costs.,,,,admin,,Business Terms,Accounting
,Nominal value (of a share) ,,The amount stated on the face of a share certificate as the named value of the share when issued.,,,,admin,,Business Terms,Accounting
,"Non-Traditional"" versus ""Traditional"" Employee Benefits""",,"Traditional benefits include life, retirement, health, and disability benefits. Non-traditional benefits include various types of life management benefits such as EAPs, child and elder care counseling and referral, etc. (see life management benefits). According to the US Chamber of Commerce, health insurance is the most expensive single benefit cost, accounting for about 20% of total benefits, or about $2,666 per employee on average. (as per a 1999 study.)",,,,admin,,Business Terms,Human Resources
,Observation interview,,"A method of assessing job requirements and skills by observing the employee at work, followed by an interview with the employee for further assessment and insight.",,,,admin,,Business Terms,Human Resources
,Offshoring,,"The act of moving work to an overseas location to take advantage of lower labor costs. Offshoring usually involves manufacturing; information technology and back-office services like call centers and bill processing. Companies can build its own work center abroad, establish a foreign division, or create a subsidiary in remote locations.",,,,admin,,Business Terms,Human Resources
,Onboarding,,"The process of moving a new hire from applicant to employee status ensuring that paperwork is done, benefits administration is underway, and orientation is completed.",,,,admin,,Business Terms,Human Resources
,O*Net (Occupational Information Network),,"A free online database that contains thousands of occupational definitions to help match job seekers with jobs, which is administered and sponsored by the U.S. Department of Labor's Employment and Training Administration.",,,,admin,,Business Terms,Human Resources
,Open-book management,,A management strategy emphasizing employee empowerment and individual impact on the success of the company by making the organization?s financial data available to all employees so they can make better decisions as workers.,,,,admin,,Business Terms,Human Resources
,Ordinary shares ,,Shares in a company which entitle the holder to a share of the dividend declared and a share in net assets on closing down the business.,,,,admin,,Business Terms,Accounting
,Organic Search Results,,"Search results returned by search engines that are based purely on the content of the pages and page popularity. Organic search results are not categorized directory results, or pay-per-click advertising results. According to MarketingSherpa.com, total money spent on search engine optimization represents only 12% of what is spent on pay-for-click advertising (PPC). What makes this statistic so startling is that it is that organic search engine results (those that show up in natural free"" listings) are better noticed",,,,admin,,Business Terms,Human Resources
,Organization,,,,,,admin,,Business Terms,Company Wide
,Organizational Culture,,"The values, attitudes, beliefs and behaviors that characterize an organization. It is the unwritten workplace ethos that is picked up by new employees.",,,,admin,,Business Terms,Human Resources
,Organizational Development,,"A planned organization-wide effort to improve and increase the organizations effectiveness, productivity, return on investment and overall employee job satisfaction through planned interventions in the organization's processes.",,,,admin,,Business Terms,Human Resources
,Orientation,,"Introducing new hires to the organization and its policies, benefits and culture. Training and familiarization with each department are sometimes included.",,,,admin,,Business Terms,Human Resources
,OSHA,,"The Occupation Safety and Health Administration, an agency of the U.S. Department of Labor. The agency?s goal is to promote health and reduce accidents, injury and death in the workplace.",,,,admin,,Business Terms,Human Resources
,Outplacement,,"A benefit offered by a downsizing employer to assist former employees in re-entering the job market. Assistance can include job training, resume workshops, interview practice and career counseling.",,,,admin,,Business Terms,Human Resources
,Outsourcing,,"Contracting out non-core functions, such as payroll, benefits administration or manufacturing, to save money and focus on what the company does best.",,,,admin,,Business Terms,Human Resources
,Pareto chart,,"A quality assurance tool that ranks information, like reasons for certain problems, in descending order. The goal is to identify the most serious problems so improvements can be made.",,,,admin,,Business Terms,Human Resources
,Partnership ,,Two or more persons (or companies) in business together with the aim of making a profit.,,,,admin,,Business Terms,Accounting
,Party,,"The persons who are directly involved or interested in any act, affair, contract, transaction, or legal proceeding; opposing litigants. Persons who enter into a contract or other transactions are considered parties to the agreement.&nbsp;",,,,admin,,Business Terms,Company Wide
,Pay-Per-Click (PPC),,Online advertising payment model in which payment is based on qualifying click-throughs. A typical PPC agreement has the advertiser paying for clicks to the destination site based on a prearranged per-click rate. Popular PPC advertising options include search engines (right sidebar on Google). Paying per click is different than paying per impression which generates lower-quality traffic/leads.,,,,admin,,Business Terms,Human Resources
,Pay-Per-Impression,,"Online advertising payment mode in which payment is based on how often the publisher"" (e.g.",,,,admin,,Business Terms,Human Resources
,Payroll,,"Documentation created and maintained by the employer containing such information as hours worked, salaries, wages, commissions, bonuses, vacation/sick pay, contributions to qualified health and pension plans, net pay and deductions.",,,,admin,,Business Terms,Human Resources
,Peer appraisal,,A performance assessment given by an employee?s peers who have observed the employee?s job performance.,,,,admin,,Business Terms,Human Resources
,Performance Appraisal,,A periodic review and evaluation of an individual's job performance.,,,,admin,,Business Terms,Human Resources
,Performance Improvement,,"A plan to improve an employee?s performance in which the performance problem is identified, modified and monitored.",,,,admin,,Business Terms,Human Resources
,Performance Management,,"The process of maintaining or improving employee job performance through the use of performance assessment tools, coaching and counseling. The ultimate goal is to better meet organizational objectives.",,,,admin,,Business Terms,Human Resources
,Performance Planning,,"An organization-wide plan to manage employees and their performance wherein goals are set for employees, departments and the organization as a whole.",,,,admin,,Business Terms,Human Resources
,Person,,,,,,admin,,Business Terms,Company Wide
,Phone Number,,,,,,admin,,Business Terms,Human Resources
,Plan Sponsor,,"An entity that has adopted and has maintained an employee-benefit plan. The plan sponsor is often an employer, but may be a union or a professional association. The Plan Sponsor is responsible for determining employee participation and the amount of benefits involved.",,,,admin,,Business Terms,Human Resources
,Post Code,,,,,,admin,,Business Terms,Company Wide
,Premium only plan (POP),,"Section 125 is part of the IRS Code that allows employees to convert a taxable cash benefit (salary) into non-taxable benefits, so they may pay for qualified benefit premiums before any taxes are deducted from their paychecks. The Premium only plan allows for certain employee paid group insurance premiums to be paid with pre-tax dollars.",,,,admin,,Business Terms,Human Resources
,Prepayment ,,"An amount paid for in advance for and benefit to the business, such as insurance premiums or rent in advance. Initially recognised as an asset, then transferred to expense in the period when the benefit is enjoyed. (Also called a prepaid expense).",,,,admin,,Business Terms,Accounting
,Probationary Arrangement,,An agreement between an employer and employee that the employee will work for a set amount of time on a trial or probationary period.,,,,admin,,Business Terms,Human Resources
,Professional Employer Organization (PEO),,"A staffing service that is contracted to assume the employers responsibilities and risk for his/her workforce. Employees are legally co-employed by the PEO. The PEO is responsible for such actions as the preparation of accurate payroll checks, the remittance of payroll taxes to federal and state jurisdictions and the preparation of various tax information.",,,,admin,,Business Terms,Human Resources
,Profit ,,Calculated as revenue (income) minus expenses.,,,,admin,,Business Terms,Accounting
,Profit and loss account ,,"Financial statement presenting revenues, expenses, and profit. Also called income statement.",,,,admin,,Business Terms,Accounting
,Protection,,"Safety is the state of being ""safe"" (from French sauf), the condition of being protected against physical, social, spiritual, financial, political, emotional, occupational, psychological, educational or other types or consequences of failure, damage, error, accidents, harm or any other event which could be considered non-desirable. Safety can also be defined to be the control of recognized hazards to achieve an acceptable level of risk. This can take the form of being protected from the event or from exposure to something that causes health or economical losses. It can include protection of people or of possessions.",,,,admin,,Business Terms,Human Resources
,Provision ,,A liability of uncertain timing or amount.,,,,admin,,Business Terms,Accounting
,Provision for doubtful debts ,,"An estimate of the risk of not collecting full payment from credit customers, reported as a deduction from trade receivable (debtors) in the balance sheet.",,,,admin,,Business Terms,Accounting
,Quality management,,"A system to make sure that a product or service meets standards of excellence, and that the process by which the product or service is created is efficient and effective as well. The three key components of this system are quality control, quality assurance and quality improvement.",,,,admin,,Business Terms,Human Resources
,Random Testing,,Employer-administered drug and alcohol tests conducted at random intervals.,,,,admin,,Business Terms,Human Resources
,Recruitment,,The process of finding and hiring the best-qualified candidate for a position.,,,,admin,,Business Terms,Human Resources
,Recruitment Process Outsourcing (RPO),,The outsourcing of the recruiting process to a third party.,,,,admin,,Business Terms,Human Resources
,Redundancy,,Eliminating jobs or job categories as they become unnecessary to the functioning of an organization.,,,,admin,,Business Terms,Human Resources
,Registrar of Companies ,,An official authorised by the government to maintain a record of all annual reports and other documents issued by a company.,,,,admin,,Business Terms,Accounting
,Release of Information,,The release of medical records outside of the currently authorized healthcare organization. ,,,ROI,admin,,Business Terms,Human Resources
,Replacement charts,,"A tool in succession planning in which current and future job vacancies, as well as the number of employees in currently filled jobs, are visually summarized.",,,,admin,,Business Terms,Human Resources
,Request for proposal (RFP),,"A request sent by a company to a vendor to submit a bid for a product or service. The bid includes a timeline, a description of the good or service, the type of contract, cost and other specifics.",,,,admin,,Business Terms,Human Resources
,Reserves ,,The claim which owners have on the assets of a company because the company has created new wealth for them over the period since it began. Most common example is retained earnings.,,,,admin,,Business Terms,Accounting
,Restrictive covenant,,Also known as a negative covenant; a provision in a contract excluding key employees from working for competitors in a certain geographic area and for a certain length of time.,,,,admin,,Business Terms,Human Resources
,Retained earnings ,,"Accumulated past profits, not distributed in dividends, available to finance investment in assets.",,,,admin,,Business Terms,Accounting
,Retention Strategy,,"In order to retain employees and reduce turnover managers must meet the goals of employees without losing sight of the organization's goals, utilizing valence and expectancy theories.",,,,admin,,Business Terms,Human Resources
,Return on investment (ROI),,The percentage of profit on an investment compared to the cost of that investment. Also called the rate of return or yield.,,,,admin,,Business Terms,Human Resources
,Right to manage,,The ?right? of management to conduct business without having to answer to internal or external forces for their decisions.,,,,admin,,Business Terms,Human Resources
,Risk Management,,The use of insurance and other strategies to minimize an organizations exposure to liability in the event a loss or injury occurs.,,,,admin,,Business Terms,Human Resources
,Rotational training,,"A training method where employees are rotated among a variety of different jobs, departments or company functions for a certain period of time.",,,,admin,,Business Terms,Human Resources
,RSS (Real Simple Syndication),,A commonly used protocol for delivering web-based content such as blogs. RSS is an XML-based format that allows webmasters to provide fresh web content in a succinct manner. It is fast becoming an easy and affordable way to spread content.,,,,admin,,Business Terms,Human Resources
,Safe Harbor Regulations,,"Guidelines regulated by the Department of Labor, which, when fully complied with, may reduce or limit the liability of a plan fiduciary, on the condition that the party performed its actions in good faith or in compliance with defined standards.",,,,admin,,Business Terms,Human Resources
,Salary,,,,,,admin,,Business Terms,Human Resources
,Scalability,,"The degrees to which the system, network, or process of a computer's hardware or software can be expanded in size, volume, or number of users served and continue to function properly. An analogous business model of economic growth refers to a businesses ability to expand to a greater capacity.",,,,admin,,Business Terms,Human Resources
,Scheduled time off,,"Excused absences from regular work hours scheduled in advance by an employee for such things as vacation, medical appointments, military service, jury duty, etc.",,,,admin,,Business Terms,Human Resources
,Secured loan ,,Loan where the lender has taken a special claim on particular assets or revenues of the company to give extra protection in the event of the loan remaining unpaid.,,,,admin,,Business Terms,Accounting
,Self-Funded (Self-Insured) Plan,,"A health care insurance program in which employers (usually larger companies) pay the specified health care costs of their employees rather than insuring them. Self-funded plans may be self-administered, or the employer may contract a third party administrator (TPA) for administrative services only (ASO).",,,,admin,,Business Terms,Human Resources
,Sensitivity training,,A form of individual or group counseling geared toward increasing self-awareness of one's own prejudices and sensitivity to others.,,,,admin,,Business Terms,Human Resources
